苏州电信外网,#genre#
CCTV6,http://192.168.1.188:6800/rtp/239.49.0.6:9574
CCTV7,http://192.168.1.188:6800/rtp/239.49.8.126:8000
CCTV8,http://192.168.1.188:6800/rtp/239.49.0.8:9578
CCTV10,http://192.168.1.188:6800/rtp/239.49.0.10:8072
CCTV11,http://192.168.1.188:6800/rtp/239.49.0.11:8080
CCTV12,http://192.168.1.188:6800/rtp/239.49.0.12:8088
CCTV新闻,http://192.168.1.188:6800/rtp/239.49.0.13:8096
CCTV少儿,http://192.168.1.188:6800/rtp/239.49.0.14:8104
CCTV音乐,http://192.168.1.188:6800/rtp/239.49.0.15:8112
CGTN,http://192.168.1.188:6800/rtp/239.49.0.9:8064
CCTV17,http://192.168.1.188:6800/rtp/239.49.0.7:8048
江苏卫视,http://192.168.1.188:6800/rtp/239.49.0.16:8120
江苏城市,http://192.168.1.188:6800/rtp/239.49.0.17:8128
江苏综艺,http://192.168.1.188:6800/rtp/239.49.0.18:8136
江苏体育休闲,http://192.168.1.188:6800/rtp/239.49.0.19:8144
江苏影视,http://192.168.1.188:6800/rtp/239.49.0.20:8152
优漫卡通,http://192.168.1.188:6800/rtp/239.49.0.21:8160
江苏新闻,http://192.168.1.188:6800/rtp/239.49.0.149:9186
江苏国际,http://192.168.1.188:6800/rtp/239.49.0.22:8168
好享购物,http://192.168.1.188:6800/rtp/239.49.0.103:8000
江苏教育,http://192.168.1.188:6800/rtp/239.49.0.23:8176
环球购物,http://192.168.1.188:6800/rtp/239.49.0.212:8000
家有购物,http://192.168.1.188:6800/rtp/239.49.8.124:8000
央广购物,http://192.168.1.188:6800/rtp/239.49.0.110:9014
财富天下,http://192.168.1.188:6800/rtp/239.49.0.166:9322
欢笑剧场4K,http://192.168.1.188:6800/rtp/239.49.8.106:8000
第一财经,http://192.168.1.188:6800/rtp/239.49.0.30:8232
金色学堂,http://192.168.1.188:6800/rtp/239.49.0.31:8240
都市剧场,http://192.168.1.188:6800/rtp/239.49.0.32:8248
