央视频道,#genre#
湖南金鹰卡通,http://39.134.66.66/PLTV/88888888/224/3221225561/main.m3u8
新闻综合1,http://39.134.65.208/PLTV/88888888/224/3221226041/main.m3u8
农业致富,http://39.134.66.66/PLTV/88888888/224/3221225552/main.m3u8
齐齐哈尔经济法制,http://39.134.65.208/PLTV/88888888/224/3221226097/main.m3u8
齐齐哈尔经济法制,http://39.134.66.66/PLTV/88888888/224/3221226097/main.m3u8
齐齐哈尔新闻综合,http://39.134.65.208/PLTV/88888888/224/3221226037/main.m3u8
哈尔滨生活,http://39.134.65.208/PLTV/88888888/224/3221226095/main.m3u8
哈尔滨新闻综合,http://39.134.66.66/PLTV/88888888/224/3221226110/main.m3u8
黑龙江都市,http://39.134.65.208/PLTV/88888888/224/3221225969/main.m3u8
黑龙江都市,http://39.134.65.208/PLTV/88888888/224/3221225990/main.m3u8
黑龙江农业科教,http://39.134.65.208/PLTV/88888888/224/3221225994/main.m3u8
黑龙江农业科教,http://39.134.65.208/PLTV/88888888/224/3221225998/main.m3u8
黑龙江少儿,http://39.134.65.208/PLTV/88888888/224/3221225979/main.m3u8
黑龙江少儿,http://39.134.65.208/PLTV/88888888/224/3221226002/main.m3u8
黑龙江文体,http://39.134.65.208/PLTV/88888888/224/3221225965/main.m3u8
黑龙江文体,http://39.134.65.208/PLTV/88888888/224/3221226012/main.m3u8
黑龙江新闻法制,http://39.134.65.208/PLTV/88888888/224/3221225967/main.m3u8
黑龙江新闻法制,http://39.134.65.208/PLTV/88888888/224/3221225992/main.m3u8
黑龙江影视,http://39.134.65.208/PLTV/88888888/224/3221225971/main.m3u8
黑龙江影视,http://39.134.65.208/PLTV/88888888/224/3221225973/main.m3u8
鸡西安全生活,http://39.134.66.66/PLTV/88888888/224/3221226050/main.m3u8
佳木斯新闻综合,http://39.134.65.208/PLTV/88888888/224/3221225993/main.m3u8
睛彩广场舞,http://39.134.65.208/PLTV/88888888/224/3221226046/main.m3u8
睛彩竞技,http://39.134.65.208/PLTV/88888888/224/3221225897/main.m3u8
睛彩篮球,http://39.134.65.208/PLTV/88888888/224/3221225895/main.m3u8
睛彩篮球,http://39.134.65.208/PLTV/88888888/224/3221226027/main.m3u8
咪咕视频,http://39.134.65.208/PLTV/88888888/224/3221226031/main.m3u8
咪咕视频,http://39.134.65.208/PLTV/88888888/224/3221225912/main.m3u8
咪咕视频,http://39.134.66.66/PLTV/88888888/224/3221225910/main.m3u8
咪咕视频,http://39.134.65.208/PLTV/88888888/224/3221225905/main.m3u8
咪咕视频,http://39.134.66.66/PLTV/88888888/224/3221225905/main.m3u8
咪咕视频,http://39.134.65.208/PLTV/88888888/224/3221225903/main.m3u8
咪咕视频,http://39.134.65.208/PLTV/88888888/224/3221225901/main.m3u8
咪咕视频,http://39.134.65.208/PLTV/88888888/224/3221225662/main.m3u8
咪咕视频,http://39.134.65.208/PLTV/88888888/224/3221225653/main.m3u8
咪咕视频,http://39.134.65.208/PLTV/88888888/224/3221225651/main.m3u8
咪咕视频,http://39.134.66.66/PLTV/88888888/224/3221225620/main.m3u8
咪咕视频,http://39.134.66.66/PLTV/88888888/224/3221225619/main.m3u8
咪咕视频,http://39.134.66.66/PLTV/88888888/224/3221225613/main.m3u8
香港台湾频道,#genre#
TVB1,http://ali.hlspull.yximgs.com/live/c65f81f73ef39e629617baac2ff2d4e3.flv
ViuTV,http://php.jdshipin.com/TVOD/iptv.php?id=viutv
无线新闻台,http://php.jdshipin.com:8880/smt.php?id=inews_twn
凤凰卫视频道,http://php.jdshipin.com/TVOD/iptv.php?id=fhzw
TVB翡翠台,http://php.jdshipin.com:8880/smt.php?id=jade_twn
星空卫视,http://171.213.151.177:4443/udp/239.93.1.10:2193
韩国阿里郎电视台,http://amdlive-ch02-ctnd-com.akamaized.net/arirang_1ch/smil:arirang_1ch.smil/playlist.m3u8
台湾中天新闻,http://ali.hlspull.yximgs.com/live/167ztxw2.flv
中天综合,http://ali.hlspull.yximgs.com/live/awei_ztzh.flv
中天娱乐,http://ali.hlspull.yximgs.com/live/167ztyl.flv
中天亚洲http://ali.hlspull.yximgs.com/live/167ztyz.flv
美亚电影,http://ali.hlspull.yximgs.com/live/awei_mydy.flv
东森综合,http://ali.hlspull.yximgs.com/live/awei_dszh.flv
无线新闻,http://ali.hlspull.yximgs.com/live/167_wxxw.flv
寰宇新闻,http://ali.hlspull.yximgs.com/live/167_hyxw.flv
星光电影,http://ali.hlspull.yximgs.com/live/zxcvbnm9852.flv
民视台湾,http://ali.hlspull.yximgs.com/live/awei_mstw.flv
八大综合,http://ali.hlspull.yximgs.com/live/awei_bdzh.flv
翡翠台,http://ali.hlspull.yximgs.com/live/167_jade.flv
凤凰资讯,http://ali.hlspull.yximgs.com/live/167_fhzx.flv
凤凰中文,http://ali.hlspull.yximgs.com/live/167_fhzw.flv
华丽翡翠台,http://php.jdshipin.com/TVOD/iptv.php?id=huali
无线华丽台,http://php.jdshipin.com/TVOD/iptv.php?id=huali2
